item,context,Q_nai,Q_ai,list,rc,mc,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,position_prop,exp1.response,exp2.response,position_prop2,pref.response,age_enter.text,gender_slider.response,lang_enter.text,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
,,,,,,,,,,,,,,,,,,,,,,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
,,,,,,,,,,,,,,,,,,,,,,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
,,,,,,,,,,,,,,,,,,,,,,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
t2,Emma said: Mary is looking for Peter and Donald.,about what food Peter likes,about where Peter is,2,,,0,0,0,0,,,,,"[[0, -0.08], [0, -0.25]]",0.7703703703703704,0.3037037037037037,,,,,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
,,,,,,,,,,,,,,,,,,,,,,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
,,,,,,,,,,,,,,,,,,,,,,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
t2,Emma said: Mary is looking for Peter and Donald.,,,2,"Peter, who is at the music store, likes pizza.","Peter, who likes pizza, is at the music store.",,,,,0,0,0,0,,,,"[[0, -0.1], [0, 0]]",0.6499999999999999,,,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
,,,,,,,,,,,,,,,,,,,,,None,,158139,001,2023-08-09_11h34.45.827,aboutness,2022.2.5,60.01374314713917,
