item,context,Q_nai,Q_ai,list,rc,mc,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,position_prop,exp1.response,exp2.response,position_prop2,pref.response,age_enter.text,gender_slider.response,lang_enter.text,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
,,,,,,,,,,,,,,,,,,,,,,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
,,,,,,,,,,,,,,,,,,,,,,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
,,,,,,,,,,,,,,,,,,,,,,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
t2,Emma said: Mary is looking for Peter and Donald.,about what food Peter likes,about where Peter is,2,,,0,0,0,0,,,,,"[[0, -0.25], [0, -0.08]]",0.525,0.43425925925925923,,,,,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
,,,,,,,,,,,,,,,,,,,,,,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
,,,,,,,,,,,,,,,,,,,,,,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
t2,Emma said: Mary is looking for Peter and Donald.,,,2,"Peter, who is at the music store, likes pizza.","Peter, who likes pizza, is at the music store.",,,,,0,0,0,0,,,,"[[0, -0.1], [0, 0]]",0.5796296296296295,,,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
,,,,,,,,,,,,,,,,,,,,,None,,428314,001,2023-08-09_11h31.30.427,aboutness,2022.2.5,59.74629333997136,
