participant,session,date,expName,psychopyVersion,OS,frameRate,exp.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,condition,context,Q_cc,list,block,certainty_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,certainty,explanation_enter.text,age_enter.text,gender_slider.response,lang_enter.text
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,0.796875,0,0,0,0,1,not-at-issue,"I'm so upset! We all know where Sue's boyfriend Tom is every Monday, only Sue doesn't. But lately she seems to be angry with Tom, that bastard.",about where Tom is every Monday,1,1,,,,,,,,,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,not-at-issue,"I'm so upset! We all know where Sue's boyfriend Tom is every Monday, only Sue doesn't. But lately she seems to be angry with Tom, that bastard. Maybe she discovered that he's at Mary's every Monday.",,1,2,1,0,0,0,0,1,Is the girl certain that Tom is at Mary's every Monday?,,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,,,,,,,,,,,,,The statement that she seems to be angry with him implies that Sue at least has a suspicion that Tom is somewhere on Mondays that he shouldn't be.,,,
683898,001,2023-07-13_11h35.03.717,pilot1,2022.2.5,Win32,59.72645285,,,,,,,,,,,,,,,,,,,,57,1,English
