participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,about_rate1.response,about_rate2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item,condition,context,Q_loc,Q_like,list,block,continue_rate.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,continuation,age_enter.text,gender_slider.response,lang_enter.text
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,,,,,,,,,,,,,,,,,,,,,,,,,
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,,,,,,,,,,,,,,,,,,,,,,,,,
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,,,,,,,,,,,,,,,,,,,,,,,,,
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,,,,,,,,,,,,,,,,,,,,,,,,,
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,"[[0,-0.08],[0,-0.25]]",0,0.856770833,0,0,0,0,1,t4,food_ai,Emma said: Mary is trying to guess Peter's favorite food.,about where Peter is,about what Peter likes,4,1,,,,,,,,,,
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,,,,,,,,,,,,,,,,,,,,,,,,,
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,,,,,,,,,,,,,,,,,,,,,,,,,
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,,,,,,,,,t4,food_ai,"Emma said: Mary is trying to guess Peter's favorite food. Peter, who is at Susan’s house, likes pizza.",,,4,2,0.333333333,0,0,0,0,1,"Peter, who is at Susan’s house, likes pizza.",,,
047787,001,2023-06-29_09h45.57.007,quick_pilot4,2022.2.5,Win32,59.98440405,,,,,,,,,,,,,,,,,,,,,,,35,1,english
