participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,exp1.response,exp2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item,context,Q_nai,Q_ai,list,position_prop2,pref.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,rc,mc,age_enter.text,gender_slider.response,lang_enter.text
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,,,,,,,,,,,,,,,,,,,,,,,,,
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,,,,,,,,,,,,,,,,,,,,,,,,,
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,,,,,,,,,,,,,,,,,,,,,,,,,
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,,,,,,,,,,,,,,,,,,,,,,,,,
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,"[[0,-0.08],[0,-0.25]]",0.986734694,0.540816327,0,0,0,0,1,t1,Emma said: Mary wants to cook something that Peter likes and something that Donald likes.,about where Peter is,about what food Peter likes,1,,,,,,,,,,,,
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,,,,,,,,,,,,,,,,,,,,,,,,,
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,,,,,,,,,,,,,,,,,,,,,,,,,
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,,,,,,,,,t1,Emma said: Mary wants to cook something that Peter likes and something that Donald likes.,,,1,"[[0,0],[0,-0.1]]",-0.826530612,0,0,0,0,1,"Peter, who likes pizza, is at the music store.","Peter, who is at the music store, likes pizza.",,,
982794,001,2023-08-09_06h46.04.363,nrrc_pilot1,2022.2.5,iPhone,62.5,,,,,,,,,,,,,,,,,,,,,,,30,1,English
