participant,session,date,expName,psychopyVersion,OS,frameRate,position_prop,exp1.response,exp2.response,trials_block1.thisRepN,trials_block1.thisTrialN,trials_block1.thisN,trials_block1.thisIndex,trials_block1.ran,item,context,Q_nai,Q_ai,list,position_prop2,pref.response,trials_block2.thisRepN,trials_block2.thisTrialN,trials_block2.thisN,trials_block2.thisIndex,trials_block2.ran,rc,mc,age_enter.text,gender_slider.response,lang_enter.text
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,"[[0,-0.08],[0,-0.25]]",,,0,0,0,0,1,t2,Emma said: Mary is looking for Peter and Donald.,about what food Peter likes,about where Peter is,2,,,,,,,,,,,,
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,,,
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,t2,Emma said: Mary is looking for Peter and Donald.,,,2,"[[0,-0.1],[0,0]]",0.014246193,0,0,0,0,1,"Peter, who is at the music store, likes pizza.","Peter, who likes pizza, is at the music store.",,,
652691,001,2023-08-09_08h59.22.781,nrrc_pilot2,2022.2.5,Linux x86_64,59.97361161,,,,,,,,,,,,,,,,,,,,,,,43,2,English
